Current (A),Time (s)
6,4.48
7,3.77
8,3.33
9,3.33
10,2.98
11,2.65
6,4.71
7,3.94
8,3.65
9,3.38
10,2.99
11,2.65
6,4.35
7,3.68
8,3.32
9,2.90
10,2.84
11,3.01
12,2.56
13,2.06
6,4.74
7,4.28
8,3.42
9,2.96
10,2.65
11,2.44
12,2.20
13,2.04
14,1.89
15,1.91
2,13.57
3,9.30
4,8.25
5,5.50
6,4.83
7,3.88
8,3.39
9,3.22
10,2.79
11,2.44
12,2.28
13,2.10
14,2.05
15,1.86
2,14.43
3,8.87
4,6.59
5,5.24
6,4.21
7,3.60
8,3.15
9,2.80
10,2.51
11,2.32
12,2.11
13,1.98
14,1.95
15,1.71
16,1.59
17,1.52
2,13.14
3,8.96
4,6.65
5,5.40
6,4.66
7,3.80
8,3.17
9,2.95
10,2.61
11,2.52
12,2.39
13,2.02
14,1.87
15,1.77
16,1.62
17,1.61
2.5,10.12
3.5,7.10
4.5,5.66
5.5,4.58
6.5,3.87
7.5,3.74
8.5,3.12
9.5,2.81
10.5,2.45
11.5,2.32
12.5,2.10
13.5,1.90
14.5,1.81
15.5,1.68
16.5,1.56
17.5,1.47
